row,cell,Cell_Label,Z_Height_mm,RPM,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,2,1kcP_siltech,-65.76,43,0.953721,0.998804,0.998731,-1.360465,9.883721,0.2,FALSE,hit_r2_slope (Rｲ=0.8890)
1,2,1kcP_siltech,-65.78,43,0.983488,0.99357,0.999337,-1.426744,-1.162791,0.2,FALSE,hit_r2_slope (Rｲ=0.8959)
1,2,1kcP_siltech,-65.8,43,1.018605,0.99473,0.997514,-1.513953,13.372093,0.2,FALSE,hit_r2_slope (Rｲ=0.8718)
1,2,1kcP_siltech,-65.82,43,1.051163,0.99364,0.998999,-1.601163,-6.395349,0.2,FALSE,hit_r2_slope (Rｲ=0.8929)
1,2,1kcP_siltech,-65.84,43,1.091395,0.98268,0.997512,-1.715116,19.186047,0.2,FALSE,hit_r2_slope (Rｲ=0.8725)
1,2,1kcP_siltech,-65.86,43,1.129535,0.99515,0.998561,-1.824419,-5.232558,0.2,FALSE,hit_r2_slope (Rｲ=0.8948)
1,2,1kcP_siltech,-65.88,43,1.177674,0.980658,0.995711,-1.982558,25,0.2,FALSE,hit_r2_slope (Rｲ=0.8615)
1,2,1kcP_siltech,-65.9,43,1.222558,0.988487,0.998052,-2.145349,-8.139535,0.2,FALSE,hit_r2_slope (Rｲ=0.8913)
1,2,1kcP_siltech,-65.92,43,1.27907,0.988606,0.995838,-2.34186,29.069767,0.4,FALSE,hit_2nd_deriv_drag (29.0698); hit_r2_slope (Rｲ=0.8799)
1,2,1kcP_siltech,-65.94,43,1.333953,0.998675,0.997829,-2.551163,-4.069767,0.2,FALSE,hit_r2_slope (Rｲ=0.8893)
1,2,1kcP_siltech,-65.96,43,1.404419,0.99159,0.994078,-2.824419,38.953488,0.6,FALSE,hit_2nd_deriv_drag (38.9535); hit_2nd_deriv_slope (-683.1395); hit_r2_slope (Rｲ=0.8726)
1,2,1kcP_siltech,-65.98,43,1.476279,0.98652,0.995823,-3.163953,3.488372,0.4,FALSE,hit_2nd_deriv_slope (-848.8372); hit_r2_slope (Rｲ=0.8774)
1,2,1kcP_siltech,-66,43,1.646047,0.782192,0.942672,-4.381395,244.767442,1,TRUE,hit_2nd_deriv_drag (244.7674); hit_2nd_deriv_cv (45.7163); hit_2nd_deriv_slope (-3043.6047); hit_r2_drag (Rｲ=0.9427); hit_r2_cv (Rｲ=0.7822); hit_r2_slope (Rｲ=0.7207)
1,2,1kcP_siltech,-66.02,43,1.655581,0.833087,0.946223,-4.424419,-400.581395,1,TRUE,hit_2nd_deriv_drag (-400.5814); hit_2nd_deriv_cv (-66.0701); hit_r2_drag (Rｲ=0.9462); hit_r2_cv (Rｲ=0.8331); hit_r2_slope (Rｲ=0.7670)
1,2,1kcP_siltech,-66.04,43,1.649767,0.136199,0.807276,-3.35,-38.372093,1,TRUE,hit_2nd_deriv_drag (-38.3721); hit_2nd_deriv_cv (-36.1272); hit_2nd_deriv_slope (2686.0465); hit_r2_drag (Rｲ=0.8073); hit_r2_cv (Rｲ=0.1362); hit_r2_slope (Rｲ=0.4590)
