row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected
1,4,,-65.84,1.3,25.03,46.34,35.646154,0.994087,0.997353,-64.961538,-19.230769,-19.230769,-3.374262,-10865.38462,0.997353,0.994087,0.899714,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,4,,-65.86,1.3,25.04,48.27,37.130769,0.983232,0.999227,-69.576923,211.538462,211.538462,-0.170549,-11538.46154,0.999227,0.983232,0.88945,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,4,,-65.88,1.3,25.04,52.48,40.369231,0.77118,0.95982,-89.730769,4384.615385,4384.615385,32.140653,-50384.61539,0.95982,0.77118,0.690165,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,1,TRUE
1,4,,-65.9,1.3,35.07,54.15,41.653846,0.863103,0.974617,-97.692308,-4884.615385,-4884.615385,-30.727564,-19903.84615,0.974617,0.863103,0.875428,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,1,TRUE
1,4,,-65.92,1.3,35.04,55.54,42.723077,0.610086,0.962333,-93.384615,-538.461538,-538.461538,-20.074337,10769.23077,0.962333,0.610086,0.367329,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,7,0.8,TRUE
1,5,,-65.48,1.3,35.05,21.4,16.461538,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,FALSE
1,5,,-65.5,1.3,25.05,23.97,18.438462,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,FALSE
1,5,,-65.52,1.3,20.09,25.46,19.584615,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,5,,-65.54,1.3,20.08,26.6,20.461538,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,5,,-65.56,1.3,20.09,27.66,21.276923,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,5,,-65.58,1.3,20.08,28.64,22.030769,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,5,,-65.6,1.3,20.09,29.6,22.769231,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,5,,-65.62,1.3,20.08,30.53,23.484615,0,0.999384,-37.692308,-57.692308,-57.692308,11.217511,0,0.999384,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,5,,-65.64,1.3,20.08,31.35,24.115385,0.841308,0.998881,-35.653846,-211.538462,-211.538462,0.957042,5096.153846,0.998881,0.841308,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0.2,FALSE
1,5,,-65.66,1.3,20.08,32.43,24.946154,0.915422,0.998565,-35.884615,500,500,7.451808,-576.923077,0.998565,0.915422,0.687047,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE
1,5,,-65.68,1.3,20.09,33.4,25.692308,0.881896,0.998221,-36.538462,-211.538462,-211.538462,1.412785,-1634.615385,0.998221,0.881896,0.759551,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE
1,5,,-65.7,1.3,25.04,34.49,26.530769,0.626538,0.997961,-38.346154,230.769231,230.769231,3.263511,-4519.230769,0.997961,0.626538,0.763657,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,5,,-65.72,1.3,25.04,35.69,27.453846,0.118981,0.998708,-41.307692,211.538462,211.538462,2.82567,-7403.846154,0.998708,0.118981,0.84579,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,5,,-65.74,1.3,20.08,36.73,28.253846,0.607953,0.998882,-41.884615,-307.692308,-307.692308,-6.754615,-1442.307692,0.998882,0.607953,0.828844,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE
1,5,,-65.76,1.3,25.04,38.11,29.315385,0.825777,0.998065,-44.846154,653.846154,653.846154,6.139989,-7403.846154,0.998065,0.825777,0.666998,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,5,,-65.78,1.3,25.04,39.38,30.292308,0.806553,0.998015,-46.923077,-211.538462,-211.538462,-2.696239,-5192.307692,0.998015,0.806553,0.899648,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,5,,-65.8,1.3,25.03,41.07,31.592308,0.766248,0.993618,-51.576923,807.692308,807.692308,6.017692,-11634.61539,0.993618,0.766248,0.798544,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,5,,-65.82,1.3,25.04,42.48,32.676923,0.96014,0.998045,-55.615385,-538.461538,-538.461538,-2.599977,-10096.15385,0.998045,0.96014,0.898222,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
