pathway_name,sample_id,label,cell,rpm,provider_bucket,viscosity_bucket_kcp,mu_true_cP,mu_pred_cP,abs_pct_err,R2_drag,A
app_v4_reference,l12500_b_14590,l12500_b_14590,5,3.5,b,5-15,14590.0,15609.606008619694,6.988389366824497,,6.699401720437637
current_fixed_logic,l12500_b_14590,l12500_b_14590,6,3.5,b,5-15,14590.0,15125.470769175561,3.6701217900998024,0.9996126784553753,6.491618355869339
old_app_v6_p2007,l12500_b_14590,l12500_b_14590,6,3.5,b,5-15,14590.0,22624.507899404456,55.06859423855008,0.9963108059657904,3.235763550550788
linear_plus_middle_trim,l12500_b_14590,l12500_b_14590,6,3.5,b,5-15,14590.0,7798.600399630624,46.548318028576944,0.9971163979989246,2.3395801198891872
app_v4_reference,l12500_b_14590,l12500_b_14590,6,3.5,b,5-15,14590.0,15125.470769175561,3.6701217900998024,,6.491618355869339
current_fixed_logic,l12500_b_14590,l12500_b_14590,8,4.0,b,5-15,14590.0,17705.99405134361,21.357053127783473,0.9998836017442952,7.599139077829874
old_app_v6_p2007,l12500_b_14590,l12500_b_14590,8,4.0,b,5-15,14590.0,21661.64862686393,48.46914754533194,0.9909264403848228,2.965304491418774
linear_plus_middle_trim,l12500_b_14590,l12500_b_14590,8,4.0,b,5-15,14590.0,5701.135517922906,60.924362454263836,0.9930215375166977,1.7103406553768716
app_v4_reference,l12500_b_14590,l12500_b_14590,8,4.0,b,5-15,14590.0,17705.99405134361,21.357053127783473,,7.599139077829874
current_fixed_logic,l12500_b_a14570,l12500_b_a14570,7,3.5,b,5-15,14570.0,15802.735786026484,8.460780961060285,0.9988969792760689,6.782290036921237
old_app_v6_p2007,l12500_b_a14570,l12500_b_a14570,7,3.5,b,5-15,14570.0,19286.794572627667,32.37333268790437,0.9808909358080763,2.3488396581080777
linear_plus_middle_trim,l12500_b_a14570,l12500_b_a14570,7,3.5,b,5-15,14570.0,5357.423201098024,63.22976526356882,0.9918091836824143,1.6072269603294072
app_v4_reference,l12500_b_a14570,l12500_b_a14570,7,3.5,b,5-15,14570.0,15802.735786026484,8.460780961060285,,6.782290036921237
current_fixed_logic,l15000_sdl_a19000,l15000_sdl_a19000,8,2.6,sdl,15-40,19000.0,21138.283875442743,11.254125660224963,0.9998129845113886,9.072224839245811
old_app_v6_p2007,l15000_sdl_a19000,l15000_sdl_a19000,8,2.6,sdl,15-40,19000.0,26246.71182616372,38.14058855875641,0.9944388304903373,4.3593302522887765
linear_plus_middle_trim,l15000_sdl_a19000,l15000_sdl_a19000,8,2.6,sdl,15-40,19000.0,9892.397523065149,47.93474987860448,0.9971032932738935,2.9677192569195445
app_v4_reference,l15000_sdl_a19000,l15000_sdl_a19000,8,2.6,sdl,15-40,19000.0,21138.283875442743,11.254125660224963,,9.072224839245811
current_fixed_logic,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,16276.50837478031,14.334166448524687,0.9970320878985721,6.98562591192288
old_app_v6_p2007,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,21539.797060762983,13.367352951384122,0.9916018001728426,2.9319215580553424
linear_plus_middle_trim,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,9448.147585581091,50.27290744431004,0.9922877967795988,2.834444275674327
app_v4_reference,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,16276.50837478031,14.334166448524687,,6.98562591192288
current_fixed_logic,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,19456.585679937773,2.4030825259882764,0.9996905788098717,8.350465957054839
old_app_v6_p2007,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,27941.35518174019,47.05976411442205,0.9989748415047391,4.942595908302022
linear_plus_middle_trim,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,15886.998252732044,16.384219722462927,0.9992008111108395,4.766099475819613
app_v4_reference,l15000_sdl_a19000,l15000_sdl_a19000,9,2.6,sdl,15-40,19000.0,19456.585679937773,2.4030825259882764,,8.350465957054839
current_fixed_logic,l20000_sdl_a24380,l20000_sdl_a24380,9,2.1,sdl,15-40,24380.0,26593.908568002993,9.080839081226387,0.9994896391638535,11.413694664378966
old_app_v6_p2007,l20000_sdl_a24380,l20000_sdl_a24380,9,2.1,sdl,15-40,24380.0,32252.725570658484,32.29173736939493,0.9952831286125391,6.5921829046499045
linear_plus_middle_trim,l20000_sdl_a24380,l20000_sdl_a24380,9,2.1,sdl,15-40,24380.0,13095.878267172007,46.28433852677602,0.9941114388088342,3.9287634801516016
app_v4_reference,l20000_sdl_a24380,l20000_sdl_a24380,9,2.1,sdl,15-40,24380.0,26593.908568002993,9.080839081226387,,11.413694664378966
current_fixed_logic,l2000_sdl_a3347,l2000_sdl_a3347,3,15.0,sdl,0-5,3347.0,3913.663612640111,16.93049335644191,0.9998739672359523,1.6796839539227943
old_app_v6_p2007,l2000_sdl_a3347,l2000_sdl_a3347,3,15.0,sdl,0-5,3347.0,10539.191512441408,214.88471802932202,0.9908560171683312,0.6984103791821672
linear_plus_middle_trim,l2000_sdl_a3347,l2000_sdl_a3347,3,15.0,sdl,0-5,3347.0,1265.0682824814667,62.20291955537895,0.9916318649003656,0.37952048474444
app_v4_reference,l2000_sdl_a3347,l2000_sdl_a3347,3,15.0,sdl,0-5,3347.0,3913.663612640111,16.93049335644191,,1.6796839539227943
current_fixed_logic,l25000_sdl_a22730,l25000_sdl_a22730,10,2.2,sdl,15-40,22730.0,23421.10019810399,3.040476014535819,0.9994908097655812,10.051974333950211
old_app_v6_p2007,l25000_sdl_a22730,l25000_sdl_a22730,10,2.2,sdl,15-40,22730.0,29907.41339367209,31.576829712591685,0.993089979179092,5.665322022345839
linear_plus_middle_trim,l25000_sdl_a22730,l25000_sdl_a22730,10,2.2,sdl,15-40,22730.0,13620.45901979886,40.077171052358736,0.9969144617727306,4.086137705939658
app_v4_reference,l25000_sdl_a22730,l25000_sdl_a22730,10,2.2,sdl,15-40,22730.0,23421.10019810399,3.040476014535819,,10.051974333950211
current_fixed_logic,l30000_b_a31870,l30000_b_a31870,11,1.7,b,15-40,31870.0,32095.188739221052,0.7065853128994413,0.999083203719454,13.774759115545514
old_app_v6_p2007,l30000_b_a31870,l30000_b_a31870,11,1.7,b,15-40,31870.0,34602.64688411692,8.574354829359645,0.918336968446706,7.5915218794522294
linear_plus_middle_trim,l30000_b_a31870,l30000_b_a31870,11,1.7,b,15-40,31870.0,18801.846610012297,41.00456037021557,0.8850376291726123,5.640553983003689
app_v4_reference,l30000_b_a31870,l30000_b_a31870,11,1.7,b,15-40,31870.0,32095.188739221052,0.7065853128994413,,13.774759115545514
current_fixed_logic,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,88720.15375046362,41.72548522438278,0.9997737637462801,38.07731920620756
old_app_v6_p2007,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,42025.93862673286,32.86591273684847,0.9884363213542006,11.213363659837551
linear_plus_middle_trim,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,24715.51924343788,60.518339866712644,0.9941512772721577,7.414655773031363
app_v4_reference,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,88720.15375046362,41.72548522438278,,38.07731920620756
current_fixed_logic,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,85942.9691237014,37.289088057031,0.9996417628159677,36.88539447369159
old_app_v6_p2007,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,50970.538916406054,18.577413871555823,0.9988848306087313,16.516808236727712
linear_plus_middle_trim,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,53421.11240641076,14.662759734168121,0.9982392041526853,16.026333721923226
app_v4_reference,l40000_sdl_a62600,l40000_sdl_a62600,12,0.8,sdl,40+,62600.0,85942.9691237014,37.289088057031,,36.88539447369159
current_fixed_logic,l4000_sdl_a6611,l4000_sdl_a6611,4,8.0,sdl,5-15,6611.0,7618.240018267348,15.235819365713935,0.9996931961104129,3.2696309091276174
old_app_v6_p2007,l4000_sdl_a6611,l4000_sdl_a6611,4,8.0,sdl,5-15,6611.0,16616.991708765036,151.35367884987195,0.9919902100469199,1.7417471727860847
linear_plus_middle_trim,l4000_sdl_a6611,l4000_sdl_a6611,4,8.0,sdl,5-15,6611.0,3141.4281325233774,52.48180105092456,0.9913211664710966,0.9424284397570132
app_v4_reference,l4000_sdl_a6611,l4000_sdl_a6611,4,8.0,sdl,5-15,6611.0,7618.240018267348,15.235819365713935,,3.2696309091276174
current_fixed_logic,l45000_sdl_a40600,l45000_sdl_a40600,13,1.2,sdl,40+,40600.0,42599.501745576585,4.924881146740356,0.9972994689037902,18.283047959474928
old_app_v6_p2007,l45000_sdl_a40600,l45000_sdl_a40600,13,1.2,sdl,40+,40600.0,41979.818357148615,3.398567382139446,0.9993476472804039,11.188679539312302
linear_plus_middle_trim,l45000_sdl_a40600,l45000_sdl_a40600,13,1.2,sdl,40+,40600.0,36502.77417085517,10.091689234346873,0.9982075890223371,10.95083225125655
app_v4_reference,l45000_sdl_a40600,l45000_sdl_a40600,13,1.2,sdl,40+,40600.0,42599.501745576585,4.924881146740356,,18.283047959474928
current_fixed_logic,l45000_sdl_a40850,l45000_sdl_a40850,12,1.2,sdl,40+,40850.0,33703.9386060565,17.493418345026924,0.9960709819061387,14.465209702170174
